"pair","carrier","dist","pass","port1","port2","carrier_name"
"SBN-SFO","UA",1929,287,"SBN","SFO","United"
"BED-IAD","DL",405,286,"BED","IAD","Delta"
"BUR-MIA","WN",2340,286,"BUR","MIA","Southwest"
"BWI-SEA","DL",2335,286,"BWI","SEA","Delta"
"CLE-MIA","DL",1080,286,"CLE","MIA","Delta"
"DAL-OKC","WN",181,286,"DAL","OKC","Southwest"
"DAL-PWM","WN",1615,286,"DAL","PWM","Southwest"
"DSM-RSW","WN",1236,286,"DSM","RSW","Southwest"
"GRB-PHX","DL",1487,286,"GRB","PHX","Delta"
"MSP-SEA","WN",1399,286,"MSP","SEA","Southwest"
"ACT-OKC","UA",261,285,"ACT","OKC","United"
"BMG-LAN","DL",272,285,"BMG","LAN","Delta"
"DCA-RIC","B6",94,285,"DCA","RIC","Jetblue"
"LBB-MIA","B6",1400,285,"LBB","MIA","Jetblue"
"PUW-SLC","AS",484,285,"PUW","SLC","Alaska"
"ABQ-GEG","WN",1035,284,"ABQ","GEG","Southwest"
"ACT-PVU","DL",1004,284,"ACT","PVU","Delta"
"BMG-CMH","UA",207,284,"BMG","CMH","United"
"LAX-MSP","AA",1535,284,"LAX","MSP","American"
"GRB-MCI","DL",493,283,"GRB","MCI","Delta"
"LAX-RSW","B6",2238,283,"LAX","RSW","Jetblue"
"AUS-PWM","WN",1764,282,"AUS","PWM","Southwest"
"DTW-JAX","WN",813,282,"DTW","JAX","Southwest"
"JAX-SMF","WN",2324,282,"JAX","SMF","Southwest"
"CMH-SAV","WN",551,281,"CMH","SAV","Southwest"
"FLL-MIA","NK",21,281,"FLL","MIA","Spirit"
"IAH-MCO","B6",854,281,"IAH","MCO","Jetblue"
"IND-SJC","DL",1925,281,"IND","SJC","Delta"
"LAX-SYR","B6",2351,281,"LAX","SYR","Jetblue"
"LBB-SLC","WN",744,281,"LBB","SLC","Southwest"
"PBI-PWM","WN",1292,281,"PBI","PWM","Southwest"
"EWR-ROC","B6",246,280,"EWR","ROC","Jetblue"
"FLL-IND","DL",1005,280,"FLL","IND","Delta"
"MBS-MIA","B6",1241,280,"MBS","MIA","Jetblue"
"MIA-OKC","WN",1222,280,"MIA","OKC","Southwest"
"AMA-ECP","WN",983,279,"AMA","ECP","Southwest"
"BUF-LAS","B6",1986,279,"BUF","LAS","Jetblue"
"BUF-MSY","DL",1097,279,"BUF","MSY","Delta"
"BUR-OAK","AS",325,279,"BUR","OAK","Alaska"
"CVG-MIA","DL",948,279,"CVG","MIA","Delta"
"HRL-MCI","WN",917,279,"HRL","MCI","Southwest"
"AMA-SAT","WN",435,278,"AMA","SAT","Southwest"
"ATL-MSY","UA",425,278,"ATL","MSY","United"
"BNA-MSY","UA",471,278,"BNA","MSY","United"
"BOI-BWI","WN",2059,278,"BOI","BWI","Southwest"
"CLT-DFW","DL",936,278,"CLT","DFW","Delta"
"ICT-SAN","WN",1166,278,"ICT","SAN","Southwest"
"PIT-SAN","WN",2106,278,"PIT","SAN","Southwest"
"BOS-IND","WN",818,277,"BOS","IND","Southwest"
"BWI-SBN","WN",537,277,"BWI","SBN","Southwest"
"COS-FLL","WN",1673,277,"COS","FLL","Southwest"
"HDN-MSY","WN",1198,277,"HDN","MSY","Southwest"
"JFK-MKE","DL",745,277,"JFK","MKE","Delta"
"LAS-PIT","HA",1910,277,"LAS","PIT","Hawaiian"
"MIA-PDX","WN",2700,277,"MIA","PDX","Southwest"
"BDL-FAT","B6",2512,276,"BDL","FAT","Jetblue"
"BDL-TUS","WN",2200,276,"BDL","TUS","Southwest"
"DSM-SWO","UA",414,276,"DSM","SWO","United"
"EWR-ROC","UA",246,276,"EWR","ROC","United"
"HOU-MEM","DL",484,276,"HOU","MEM","Delta"
"LAX-MCI","UA",1363,276,"LAX","MCI","United"
"LIT-OAK","WN",1681,276,"LIT","OAK","Southwest"
"ABQ-EWR","B6",1805,275,"ABQ","EWR","Jetblue"
"BFI-PUW","AS",251,275,"BFI","PUW","Alaska"
"BWI-IND","DL",516,275,"BWI","IND","Delta"
"CLE-GRB","UA",382,275,"CLE","GRB","United"
"CVG-LAS","HA",1678,275,"CVG","LAS","Hawaiian"
"DTW-PNS","WN",837,275,"DTW","PNS","Southwest"
"IND-JAX","DL",687,275,"IND","JAX","Delta"
"LAS-SYR","B6",2119,275,"LAS","SYR","Jetblue"
"NGF-RIV","HA",2607,275,"NGF","RIV","Hawaiian"
"RDU-SMF","WN",2345,275,"RDU","SMF","Southwest"
"COS-OMA","WN",497,274,"COS","OMA","Southwest"
"DAL-SLC","AS",999,274,"DAL","SLC","Alaska"
"HTS-MIA","B6",876,274,"HTS","MIA","Jetblue"
"MIA-PHL","B6",1013,274,"MIA","PHL","Jetblue"
"MSY-TPA","UA",488,274,"MSY","TPA","United"
"BNA-HDN","WN",1153,273,"BNA","HDN","Southwest"
"BOS-CLE","WN",563,273,"BOS","CLE","Southwest"
"BUF-CLT","DL",546,273,"BUF","CLT","Delta"
"EWR-LAS","HA",2227,273,"EWR","LAS","Hawaiian"
"GRB-IAD","UA",670,273,"GRB","IAD","United"
"LAX-PVU","DL",569,273,"LAX","PVU","Delta"
"MCO-MKE","DL",1066,273,"MCO","MKE","Delta"
"MSY-PHL","UA",1089,273,"MSY","PHL","United"
"ORD-TUS","UA",1437,273,"ORD","TUS","United"
"PHL-TUL","B6",1152,273,"PHL","TUL","Jetblue"
"PVU-SAV","DL",1785,273,"PVU","SAV","Delta"
"RDU-SEA","WN",2354,273,"RDU","SEA","Southwest"
"ATL-HOU","B6",696,272,"ATL","HOU","Jetblue"
"BUF-MCI","UA",870,272,"BUF","MCI","United"
"BUF-PVD","DL",383,272,"BUF","PVD","Delta"
"CRP-MCO","WN",989,272,"CRP","MCO","Southwest"
"DFW-SWO","UA",225,272,"DFW","SWO","United"
"ECP-LAX","WN",1920,272,"ECP","LAX","Southwest"
"MHT-SRQ","WN",1240,272,"MHT","SRQ","Southwest"
"ORD-SCE","OO",528,272,"ORD","SCE","Skywest"
"PSP-STL","WN",1492,272,"PSP","STL","Southwest"
"ALB-TUS","WN",2150,271,"ALB","TUS","Southwest"
"BNA-BUF","DL",633,271,"BNA","BUF","Delta"
"BNA-JAX","DL",483,271,"BNA","JAX","Delta"
"BUF-SLC","B6",1710,271,"BUF","SLC","Jetblue"
"BZN-SLC","B6",347,271,"BZN","SLC","Jetblue"
"BNA-ICT","WN",605,270,"BNA","ICT","Southwest"
"CPS-PIT","DL",546,270,"CPS","PIT","Delta"
"FAR-YNG","DL",891,270,"FAR","YNG","Delta"
"MCI-PHL","UA",1038,270,"MCI","PHL","United"
"BNA-MIA","B6",806,269,"BNA","MIA","Jetblue"
"DFW-PVD","AA",1529,269,"DFW","PVD","American"
"ECP-PHL","WN",886,269,"ECP","PHL","Southwest"
"MIA-SAT","DL",1143,269,"MIA","SAT","Delta"
"MKE-MSY","DL",903,269,"MKE","MSY","Delta"
"ORD-PHX","OO",1440,269,"ORD","PHX","Skywest"
"PUW-PVU","DL",525,269,"PUW","PVU","Delta"
"PVD-TPA","DL",1136,269,"PVD","TPA","Delta"
"ICT-MCO","WN",1129,268,"ICT","MCO","Southwest"
"LAS-SLC","OO",368,268,"LAS","SLC","Skywest"
"LAX-ORF","WN",2371,268,"LAX","ORF","Southwest"
"MDW-TPA","DL",997,268,"MDW","TPA","Delta"
"BNA-MCI","UA",491,267,"BNA","MCI","United"
"BOI-MCI","WN",1152,267,"BOI","MCI","Southwest"
"CLT-RDU","B6",130,267,"CLT","RDU","Jetblue"
"CVG-MCI","UA",539,267,"CVG","MCI","United"
"GTR-XNA","WN",379,267,"GTR","XNA","Southwest"
"LBB-OKC","UA",269,267,"LBB","OKC","United"
"BUF-FLL","DL",1166,266,"BUF","FLL","Delta"
"CLE-LAS","HA",1824,266,"CLE","LAS","Hawaiian"
"CLE-SEA","WN",2021,266,"CLE","SEA","Southwest"
"DTW-LNK","UA",701,266,"DTW","LNK","United"
"ECP-MKE","WN",876,266,"ECP","MKE","Southwest"
"LBB-SEA","WN",1430,266,"LBB","SEA","Southwest"
"MKC-MSP","DL",404,266,"MKC","MSP","Delta"
"MSP-SLC","WN",991,266,"MSP","SLC","Southwest"
"ALB-MYR","WN",685,265,"ALB","MYR","Southwest"
"CPS-LAX","DL",1603,265,"CPS","LAX","Delta"
"JAX-PBI","B6",280,265,"JAX","PBI","Jetblue"
"JAX-SAN","WN",2089,265,"JAX","SAN","Southwest"
"PHX-VPS","WN",1507,265,"PHX","VPS","Southwest"
"ALB-IND","WN",683,264,"ALB","IND","Southwest"
"AMA-ONT","WN",908,264,"AMA","ONT","Southwest"
"AUS-GRR","WN",1103,264,"AUS","GRR","Southwest"
"CMH-PHL","AA",406,264,"CMH","PHL","American"
"OKC-PHX","AA",833,264,"OKC","PHX","American"
"PBI-RDU","B6",638,264,"PBI","RDU","Jetblue"
"ABQ-RNO","B6",787,263,"ABQ","RNO","Jetblue"
"BOI-FLL","WN",2352,263,"BOI","FLL","Southwest"
"BUF-JAX","DL",874,263,"BUF","JAX","Delta"
"CMH-LIT","WN",629,263,"CMH","LIT","Southwest"
"CVG-MCI","DL",539,263,"CVG","MCI","Delta"
"DTW-SNA","WN",1960,263,"DTW","SNA","Southwest"
"PNS-SLC","WN",1559,263,"PNS","SLC","Southwest"
"SAN-SRQ","WN",2098,263,"SAN","SRQ","Southwest"
"AUS-IAH","WN",140,262,"AUS","IAH","Southwest"
"BDL-HPN","B6",80,262,"BDL","HPN","Jetblue"
"BED-BNA","DL",932,262,"BED","BNA","Delta"
"BNA-IAH","DL",657,262,"BNA","IAH","Delta"
"IAH-SRQ","UA",796,262,"IAH","SRQ","United"
"IND-LAS","HA",1590,262,"IND","LAS","Hawaiian"
"LGB-TUL","WN",1271,262,"LGB","TUL","Southwest"
"OKC-PHX","DL",833,262,"OKC","PHX","Delta"
"PBI-RIC","B6",763,262,"PBI","RIC","Jetblue"
"PIT-SFO","B6",2254,262,"PIT","SFO","Jetblue"
"ABQ-PNS","WN",1172,261,"ABQ","PNS","Southwest"
"CLT-FLL","DL",632,261,"CLT","FLL","Delta"
"FAT-HNL","AS",2523,261,"FAT","HNL","Alaska"
"IAD-ORD","AA",588,261,"IAD","ORD","American"
"MCO-MIA","B6",192,261,"MCO","MIA","Jetblue"
"PHL-SNA","WN",2380,261,"PHL","SNA","Southwest"
"RSW-SJU","B6",1150,261,"RSW","SJU","Jetblue"
"RSW-TUL","WN",1066,261,"RSW","TUL","Southwest"
"BOS-BUF","DL",395,260,"BOS","BUF","Delta"
"COS-TUL","WN",516,260,"COS","TUL","Southwest"
"DTW-OAK","WN",2068,260,"DTW","OAK","Southwest"
"EWR-HOU","DL",1411,260,"EWR","HOU","Delta"
"LAS-MCI","HA",1139,260,"LAS","MCI","Hawaiian"
"BOS-MKE","DL",860,259,"BOS","MKE","Delta"
"BOS-RSW","WN",1249,259,"BOS","RSW","Southwest"
"CLT-DFW","UA",936,259,"CLT","DFW","United"
"IND-LGA","WN",660,259,"IND","LGA","Southwest"
"BKL-MKC","UA",701,258,"BKL","MKC","United"
"BOS-BUF","WN",395,258,"BOS","BUF","Southwest"
"DAL-HOU","B6",239,258,"DAL","HOU","Jetblue"
"BOS-MIA","WN",1258,257,"BOS","MIA","Southwest"
"BUF-RNO","WN",2130,257,"BUF","RNO","Southwest"
"BUR-OKC","WN",1181,257,"BUR","OKC","Southwest"
"LAS-PVU","DL",341,257,"LAS","PVU","Delta"
"PDX-SLC","AS",630,257,"PDX","SLC","Alaska"
"ATL-PSP","WN",1840,256,"ATL","PSP","Southwest"
"DSM-OAK","WN",1539,256,"DSM","OAK","Southwest"
"DTW-SMF","WN",2013,256,"DTW","SMF","Southwest"
"LAS-SJC","HA",386,256,"LAS","SJC","Hawaiian"
"OKC-SRQ","WN",1044,256,"OKC","SRQ","Southwest"
"RSW-SEA","WN",2623,256,"RSW","SEA","Southwest"
"BOS-DAB","B6",1068,255,"BOS","DAB","Jetblue"
"CHS-SAV","B6",86,255,"CHS","SAV","Jetblue"
"CLE-LGA","WN",419,255,"CLE","LGA","Southwest"
"CMI-MSN","DL",221,255,"CMI","MSN","Delta"
"DFW-FAR","DL",968,255,"DFW","FAR","Delta"
"DLH-ORD","OO",397,255,"DLH","ORD","Skywest"
"CLL-GTR","WN",497,254,"CLL","GTR","Southwest"
"EWR-ORD","DL",719,254,"EWR","ORD","Delta"
"IAH-LGB","DL",1364,254,"IAH","LGB","Delta"
"CVG-PHL","UA",507,253,"CVG","PHL","United"
"DCA-SJU","WN",1554,253,"DCA","SJU","Southwest"
"DFW-MCO","B6",985,253,"DFW","MCO","Jetblue"
"FLL-PDX","WN",2694,253,"FLL","PDX","Southwest"
"IAH-RNO","OO",1530,253,"IAH","RNO","Skywest"
"LAX-PHX","B6",370,253,"LAX","PHX","Jetblue"
"MEM-SLC","WN",1262,253,"MEM","SLC","Southwest"
"ORF-SLC","WN",1935,253,"ORF","SLC","Southwest"
"ATL-PHL","UA",666,252,"ATL","PHL","United"
"BNA-CVG","DL",230,252,"BNA","CVG","Delta"
"COS-RNO","WN",810,252,"COS","RNO","Southwest"
"DFW-LAS","HA",1055,252,"DFW","LAS","Hawaiian"
"GRR-SEA","WN",1807,252,"GRR","SEA","Southwest"
"LGA-RDU","B6",431,252,"LGA","RDU","Jetblue"
"MAF-SMF","WN",1187,252,"MAF","SMF","Southwest"
"MIA-PVD","WN",1209,252,"MIA","PVD","Southwest"
"ORD-SEA","WN",1721,252,"ORD","SEA","Southwest"
"CLE-OKC","DL",948,251,"CLE","OKC","Delta"
"MIA-TUL","WN",1168,251,"MIA","TUL","Southwest"
"ACT-SWO","UA",314,250,"ACT","SWO","United"
"BHM-ELP","WN",1148,250,"BHM","ELP","Southwest"
"BWI-PSP","WN",2230,250,"BWI","PSP","Southwest"
"MHT-RDU","WN",625,249,"MHT","RDU","Southwest"
"BFI-LAX","DL",959,248,"BFI","LAX","Delta"
"BWI-GEG","WN",2111,248,"BWI","GEG","Southwest"
"CLE-JAX","WN",753,248,"CLE","JAX","Southwest"
"JAX-MIA","B6",335,248,"JAX","MIA","Jetblue"
"MCO-MDT","WN",851,248,"MCO","MDT","Southwest"
"CLE-MCO","B6",895,247,"CLE","MCO","Jetblue"
"CVG-ORD","DL",264,247,"CVG","ORD","Delta"
"MCO-SAT","DL",1041,247,"MCO","SAT","Delta"
"MIA-ORD","WN",1197,247,"MIA","ORD","Southwest"
"MYR-SRQ","WN",484,247,"MYR","SRQ","Southwest"
"BWI-EWR","B6",169,246,"BWI","EWR","Jetblue"
"CMH-VPS","WN",687,246,"CMH","VPS","Southwest"
"BUR-SRQ","WN",2169,245,"BUR","SRQ","Southwest"
"DFW-MSY","UA",447,245,"DFW","MSY","United"
"HOU-PHX","DL",1020,245,"HOU","PHX","Delta"
"BHM-SJU","WN",1652,244,"BHM","SJU","Southwest"
"BNA-JAN","WN",327,244,"BNA","JAN","Southwest"
"BUF-PBI","WN",1123,244,"BUF","PBI","Southwest"
"BUR-DCA","WN",2302,244,"BUR","DCA","Southwest"
"DAL-SFO","DL",1476,244,"DAL","SFO","Delta"
"FAR-YNG","WN",891,244,"FAR","YNG","Southwest"
"PSP-SLC","WN",541,244,"PSP","SLC","Southwest"
"BDL-SRQ","WN",1147,243,"BDL","SRQ","Southwest"
"BNA-GTR","WN",214,243,"BNA","GTR","Southwest"
"BWI-PIT","DL",210,243,"BWI","PIT","Delta"
"DAL-MEM","DL",423,243,"DAL","MEM","Delta"
"DAL-MIA","DL",1109,243,"DAL","MIA","Delta"
"DEN-EUG","WN",996,243,"DEN","EUG","Southwest"
"GRR-IAH","WN",1042,243,"GRR","IAH","Southwest"
"HOU-MSY","DL",302,243,"HOU","MSY","Delta"
"HOU-OGG","WN",3832,243,"HOU","OGG","Southwest"
"HPN-MKE","DL",741,243,"HPN","MKE","Delta"
"JAX-LGB","WN",2139,243,"JAX","LGB","Southwest"
"ONT-SDF","WN",1796,243,"ONT","SDF","Southwest"
"ORF-RSW","WN",785,243,"ORF","RSW","Southwest"
"ABQ-TUL","WN",608,242,"ABQ","TUL","Southwest"
"MSY-RSW","WN",570,242,"MSY","RSW","Southwest"
"PSC-SEA","AS",172,242,"PSC","SEA","Alaska"
"ACT-CKB","UA",1093,241,"ACT","CKB","United"
"CVG-EWR","DL",569,241,"CVG","EWR","Delta"
"DTW-ORD","AA",235,241,"DTW","ORD","American"
"IAD-MCI","WN",926,241,"IAD","MCI","Southwest"
"ICT-OAK","WN",1355,241,"ICT","OAK","Southwest"
"LAS-MCO","UA",2039,241,"LAS","MCO","United"
"LAX-SMF","B6",373,241,"LAX","SMF","Jetblue"
"LGA-ORD","WN",733,241,"LGA","ORD","Southwest"
"ABQ-CLE","WN",1411,240,"ABQ","CLE","Southwest"
"BDL-SEA","WN",2432,240,"BDL","SEA","Southwest"
"JAX-SNA","WN",2123,240,"JAX","SNA","Southwest"
"JAX-SYR","B6",923,240,"JAX","SYR","Jetblue"
"LAS-SAV","WN",1956,240,"LAS","SAV","Southwest"
"RIC-SMF","WN",2391,240,"RIC","SMF","Southwest"
"ABQ-SFO","B6",896,239,"ABQ","SFO","Jetblue"
"CVG-MDW","DL",249,239,"CVG","MDW","Delta"
"DAL-MSP","DL",853,239,"DAL","MSP","Delta"
"DEN-MEM","DL",872,239,"DEN","MEM","Delta"
"DTW-ECP","WN",829,239,"DTW","ECP","Southwest"
"EWR-LAS","DL",2227,239,"EWR","LAS","Delta"
"JAN-JAX","WN",511,239,"JAN","JAX","Southwest"
"LAX-PIT","DL",2136,239,"LAX","PIT","Delta"
"TCL-TYS","DL",273,239,"TCL","TYS","Delta"
"BKL-MSP","DL",627,238,"BKL","MSP","Delta"
"KOA-LIH","WN",263,238,"KOA","LIH","Southwest"
"MEM-SAT","DL",625,238,"MEM","SAT","Delta"
"SGF-YNG","WN",735,238,"SGF","YNG","Southwest"
"FLL-LAS","UA",2173,237,"FLL","LAS","United"
"MEM-SMF","DL",1761,237,"MEM","SMF","Delta"
"MYR-SAT","WN",1185,237,"MYR","SAT","Southwest"
"ABQ-ORD","WN",1118,236,"ABQ","ORD","Southwest"
"BHM-SMF","WN",1968,236,"BHM","SMF","Southwest"
"IND-MEM","DL",381,236,"IND","MEM","Delta"
"MAF-MIA","WN",1391,236,"MAF","MIA","Southwest"
"MSY-PBI","WN",660,236,"MSY","PBI","Southwest"
"ALB-SRQ","WN",1167,235,"ALB","SRQ","Southwest"
"BDL-MSY","WN",1279,235,"BDL","MSY","Southwest"
"BED-CLE","DL",549,235,"BED","CLE","Delta"
"CPS-LAS","DL",1383,235,"CPS","LAS","Delta"
"PNS-RDU","WN",612,235,"PNS","RDU","Southwest"
"ALO-FAR","DL",371,234,"ALO","FAR","Delta"
"BOI-SFO","UA",522,234,"BOI","SFO","United"
"CLT-SAT","WN",1095,234,"CLT","SAT","Southwest"
"ELP-MEM","WN",972,234,"ELP","MEM","Southwest"
"ELP-RDU","WN",1606,234,"ELP","RDU","Southwest"
"MKE-PHL","DL",690,234,"MKE","PHL","Delta"
"ALB-CLT","WN",646,233,"ALB","CLT","Southwest"
"ALB-SNA","WN",2449,233,"ALB","SNA","Southwest"
"BOS-SJC","WN",2689,233,"BOS","SJC","Southwest"
"BUR-IAH","WN",1378,233,"BUR","IAH","Southwest"
"CLE-DTW","UA",95,233,"CLE","DTW","United"
"FLL-IAH","WN",966,233,"FLL","IAH","Southwest"
"HNL-RNO","HA",2572,233,"HNL","RNO","Hawaiian"
"OAK-TUS","AS",747,233,"OAK","TUS","Alaska"
"ABQ-LGB","WN",664,232,"ABQ","LGB","Southwest"
"AUS-MAF","WN",294,232,"AUS","MAF","Southwest"
"BDL-BUR","WN",2516,232,"BDL","BUR","Southwest"
"BUF-CHS","WN",696,232,"BUF","CHS","Southwest"
"GRB-PIT","DL",488,232,"GRB","PIT","Delta"
"HRL-MSP","WN",1310,232,"HRL","MSP","Southwest"
"OAK-PNS","WN",2057,232,"OAK","PNS","Southwest"
"BOI-SLC","WN",290,231,"BOI","SLC","Southwest"
"CLE-CVG","DL",221,231,"CLE","CVG","Delta"
"CLT-HOU","DL",920,231,"CLT","HOU","Delta"
"DAB-MCO","B6",54,231,"DAB","MCO","Jetblue"
"IAH-RDU","WN",1042,231,"IAH","RDU","Southwest"
"LAX-SDF","WN",1843,231,"LAX","SDF","Southwest"
"AUS-SAN","AS",1164,230,"AUS","SAN","Alaska"
"BHM-CLL","UA",600,230,"BHM","CLL","United"
"MEM-PHL","DL",875,230,"MEM","PHL","Delta"
"MEM-SMF","WN",1761,230,"MEM","SMF","Southwest"
"ABQ-BHM","WN",1138,229,"ABQ","BHM","Southwest"
"BKL-MDW","UA",315,229,"BKL","MDW","United"
"BOS-TUS","WN",2289,229,"BOS","TUS","Southwest"
"CLE-MEM","WN",622,229,"CLE","MEM","Southwest"
"BUF-SAV","WN",758,228,"BUF","SAV","Southwest"
"CLE-SJC","WN",2144,228,"CLE","SJC","Southwest"
"CMH-MEM","WN",518,228,"CMH","MEM","Southwest"
"FAR-SGF","DL",690,228,"FAR","SGF","Delta"
"FLL-JAN","WN",737,228,"FLL","JAN","Southwest"
"LAN-MSN","DL",242,228,"LAN","MSN","Delta"
"LGA-MAF","WN",1684,228,"LGA","MAF","Southwest"
"MKE-TUS","WN",1462,228,"MKE","TUS","Southwest"
"BOS-DTW","WN",632,227,"BOS","DTW","Southwest"
"CVG-MIA","WN",948,227,"CVG","MIA","Southwest"
"DTW-SLC","WN",1481,227,"DTW","SLC","Southwest"
"LAS-SNA","DL",226,227,"LAS","SNA","Delta"
"MEM-ONT","WN",1572,227,"MEM","ONT","Southwest"
"DEN-IAH","OO",862,226,"DEN","IAH","Skywest"
"LBB-LGB","WN",939,226,"LBB","LGB","Southwest"
"LIT-MSY","WN",346,226,"LIT","MSY","Southwest"
"PDX-TUL","WN",1532,226,"PDX","TUL","Southwest"
"CLE-MSY","DL",917,225,"CLE","MSY","Delta"
"COS-ORD","WN",911,225,"COS","ORD","Southwest"
"DAL-MKE","DL",850,225,"DAL","MKE","Delta"
"DEN-SMF","DL",909,225,"DEN","SMF","Delta"
"FAR-MWA","DL",747,225,"FAR","MWA","Delta"
"PBI-STL","WN",1023,225,"PBI","STL","Southwest"
"ABQ-FLL","B6",1688,224,"ABQ","FLL","Jetblue"
"ICT-SEA","WN",1430,224,"ICT","SEA","Southwest"
"ICT-SJC","WN",1342,224,"ICT","SJC","Southwest"
"MLI-YNG","WN",511,224,"MLI","YNG","Southwest"
"ALB-SJU","B6",1736,223,"ALB","SJU","Jetblue"
"DAL-TPA","DL",917,223,"DAL","TPA","Delta"
"OKC-PIT","WN",1010,223,"OKC","PIT","Southwest"
"DTW-SJU","WN",1930,222,"DTW","SJU","Southwest"
"IAD-STL","WN",696,222,"IAD","STL","Southwest"
"IAH-TUL","WN",429,222,"IAH","TUL","Southwest"
"MCO-MEM","DL",684,222,"MCO","MEM","Delta"
"BDL-MIA","WN",1194,221,"BDL","MIA","Southwest"
"BDL-SNA","WN",2507,221,"BDL","SNA","Southwest"
"GNV-TCL","DL",398,221,"GNV","TCL","Delta"
"IAD-OAK","WN",2409,221,"IAD","OAK","Southwest"
"ICT-LGA","WN",1279,221,"ICT","LGA","Southwest"
"BUF-MYR","WN",639,220,"BUF","MYR","Southwest"
"IAD-SMF","WN",2358,220,"IAD","SMF","Southwest"
"IAH-MTJ","UA",927,220,"IAH","MTJ","United"
"PIH-PUW","AS",345,220,"PIH","PUW","Alaska"
"BOS-JAX","DL",1010,219,"BOS","JAX","Delta"
"BUR-RDU","WN",2231,219,"BUR","RDU","Southwest"
"LGA-LGB","WN",2460,219,"LGA","LGB","Southwest"
"PBI-PVD","WN",1148,219,"PBI","PVD","Southwest"
"BOS-CLE","DL",563,218,"BOS","CLE","Delta"
"HNL-OGG","UA",100,218,"HNL","OGG","United"
"MAF-TUL","WN",466,218,"MAF","TUL","Southwest"
"MSP-OKC","DL",694,218,"MSP","OKC","Delta"
"PDX-RSW","WN",2598,218,"PDX","RSW","Southwest"
"BIF-IAD","AS",1696,217,"BIF","IAD","Alaska"
"IAD-RDU","DL",224,217,"IAD","RDU","Delta"
"BHM-DEN","DL",1083,216,"BHM","DEN","Delta"
"BZN-IAH","WN",1385,216,"BZN","IAH","Southwest"
"BZN-PUW","AS",293,216,"BZN","PUW","Alaska"
"CMH-IAH","WN",986,216,"CMH","IAH","Southwest"
"IAD-RNO","WN",2249,216,"IAD","RNO","Southwest"
"LAX-OAK","DL",337,216,"LAX","OAK","Delta"
"BNA-FAT","WN",1832,215,"BNA","FAT","Southwest"
"BOS-CLT","DL",728,215,"BOS","CLT","Delta"
"DCA-TUL","WN",1049,215,"DCA","TUL","Southwest"
"IAH-OMA","WN",781,215,"IAH","OMA","Southwest"
"RSW-SRQ","B6",77,215,"RSW","SRQ","Jetblue"
"SDF-SEA","WN",1945,215,"SDF","SEA","Southwest"
"BKL-CVG","DL",232,214,"BKL","CVG","Delta"
"BMG-BWI","UA",534,214,"BMG","BWI","United"
"BOS-CLE","UA",563,214,"BOS","CLE","United"
"COS-SFO","WN",964,214,"COS","SFO","Southwest"
"PDX-SAT","DL",1714,214,"PDX","SAT","Delta"
"PSP-SJC","WN",390,214,"PSP","SJC","Southwest"
"DEN-PWM","WN",1782,213,"DEN","PWM","Southwest"
"GRB-SFO","UA",1836,213,"GRB","SFO","United"
"CHO-FAR","B6",1112,212,"CHO","FAR","Jetblue"
"CLT-MCO","DL",468,212,"CLT","MCO","Delta"
"HOU-PSP","WN",1280,212,"HOU","PSP","Southwest"
"IAD-LAX","DL",2288,212,"IAD","LAX","Delta"
"IAD-OMA","WN",988,212,"IAD","OMA","Southwest"
"OKC-SJC","WN",1359,212,"OKC","SJC","Southwest"
"CMH-RIC","WN",347,211,"CMH","RIC","Southwest"
"GRR-MIA","WN",1214,211,"GRR","MIA","Southwest"
"LGA-RSW","WN",1080,211,"LGA","RSW","Southwest"
"ORD-PVD","UA",849,211,"ORD","PVD","United"
"AUS-SAV","WN",984,210,"AUS","SAV","Southwest"
"BLI-BUR","WN",1030,210,"BLI","BUR","Southwest"
"RDU-SDF","DL",415,210,"RDU","SDF","Delta"
"ATL-ROC","WN",749,209,"ATL","ROC","Southwest"
"CLT-FLL","WN",632,209,"CLT","FLL","Southwest"
"FRG-PHL","DL",113,209,"FRG","PHL","Delta"
"IAD-RSW","AA",891,209,"IAD","RSW","American"
"MEM-RSW","WN",763,209,"MEM","RSW","Southwest"
"MKC-MKE","UA",438,209,"MKC","MKE","United"
"RDU-RSW","WN",667,209,"RDU","RSW","Southwest"
"BOS-ECP","WN",1165,208,"BOS","ECP","Southwest"
"CVG-MKE","DL",318,208,"CVG","MKE","Delta"
"DTW-SJC","WN",2062,208,"DTW","SJC","Southwest"
"MCI-SBA","WN",1427,208,"MCI","SBA","Southwest"
"PVD-SJC","WN",2675,208,"PVD","SJC","Southwest"
"BOS-IND","DL",818,207,"BOS","IND","Delta"
"DCA-VPS","WN",789,207,"DCA","VPS","Southwest"
"ECP-SMF","WN",2107,207,"ECP","SMF","Southwest"
"OKC-PHL","WN",1261,207,"OKC","PHL","Southwest"
"ABQ-ECP","WN",1252,206,"ABQ","ECP","Southwest"
"AUS-CLE","UA",1174,206,"AUS","CLE","United"
"CHS-MKE","B6",814,206,"CHS","MKE","Jetblue"
"CLT-LBB","WN",1195,206,"CLT","LBB","Southwest"
"CLT-MSY","WN",651,206,"CLT","MSY","Southwest"
"IND-MDW","DL",162,206,"IND","MDW","Delta"
"RSW-TPA","NK",110,206,"RSW","TPA","Spirit"
"IND-SAV","DL",596,205,"IND","SAV","Delta"
"ORF-RSW","B6",785,205,"ORF","RSW","Jetblue"
