"city1","city2","nsmiles","passengers_sum","fare_mean","carrier_lg","fare_lg","carrier_low","fare_low","fare_other","port1_lat","port1_lon","port2_lat","port2_lon"
"Boston, MA","Houston, TX",1609,3271,256.276398654846,"UA",274.084402323449,"B6",211.798025068786,239.642075105397,42.3643,-71.005203,29.9843998,-95.34140015
"Boston, MA","Indianapolis, IN",818,1339,203.631008215086,"AA",214.296646751307,"WN",197.278513816281,188.780234892293,42.3643,-71.005203,39.7173,-86.294403
"Boston, MA","Jacksonville, FL",1028,2215,180.243828442438,"B6",166.313738148984,"B6",166.313738148984,183.975175554384,42.3643,-71.005203,30.49410057,-81.68789673
"Boston, MA","Kansas City, MO",1256,812,238.342463054187,"DL",240.713571428571,"WN",227.962881773399,241.818470224404,42.3643,-71.005203,39.2976,-94.713898
"Boston, MA","Las Vegas, NV",2381,3733,269.179799089204,"B6",291.124090543799,"AA",219.516731851058,254.482262917324,42.3643,-71.005203,36.08010101,-115.1520004
"Boston, MA","Los Angeles, CA",2611,9848,315.426770917953,"B6",329.219209991876,"AA",282.291854183591,305.786841699914,42.3643,-71.005203,33.942501,-118.407997
"Boston, MA","Miami, FL",1283,13905,155.049669902913,"B6",149.477110391945,"B6",149.260212873067,158.287075229237,42.3643,-71.005203,25.79319954,-80.29060364
"Boston, MA","Milwaukee, WI",860,265,221.33,"DL",223.48,"UA",191.16,226.834734411086,42.3643,-71.005203,42.94720078,-87.89659882
"Boston, MA","Minneapolis/St. Paul, MN",1124,3237,201.904893419833,"DL",224.728690145196,"SY",123.419048501699,198.058439495562,42.3643,-71.005203,44.93450165,-93.05999756
"Boston, MA","Myrtle Beach, SC",756,730,137.144712328767,"NK",95.4578630136986,"NK",95.4578630136986,200.01197020875,42.3643,-71.005203,33.81169891,-78.72389984
"Boston, MA","Nashville, TN",942,2987,203.581817877469,"WN",211.343598928691,"WN",188.331583528624,206.049292406689,42.3643,-71.005203,36.12450027,-86.67819977
"Boston, MA","New Orleans, LA",1371,1285,224.364482490272,"B6",209.318887159533,"WN",204.549517509728,245.016470720133,42.3643,-71.005203,29.99340057,-90.25800323
"Boston, MA","New York City, NY",206,4651,149.76382713395,"B6",131.875400989035,"B6",131.875400989035,171.725307474025,42.3643,-71.005203,40.639801,-73.7789
"Boston, MA","Norfolk, VA",487,684,178.988128654971,"AA",204.397251461988,"WN",145.769590643275,173.385740291306,42.3643,-71.005203,36.8946,-76.201202
"Boston, MA","Orlando, FL",1142,13619,167.274613407739,"B6",175.137362508261,"B6",171.49798076217,153.115004957803,42.3643,-71.005203,28.42939949,-81.30899811
"Boston, MA","Philadelphia, PA",289,3002,170.273287808128,"AA",177.187438374417,"B6",152.155083277815,170.366427393346,42.3643,-71.005203,39.87189865,-75.2410965
"Boston, MA","Phoenix, AZ",2300,3682,279.346944595329,"AA",288.527952199891,"B6",244.536420423683,285.187449163002,42.3643,-71.005203,33.435302,-112.005905
"Boston, MA","Pittsburgh, PA",496,1635,190.834140672783,"B6",187.237944954128,"DL",182.932917431193,199.261777961189,42.3643,-71.005203,40.49150085,-80.23290253
"Boston, MA","Portland, OR",2537,1557,291.547912652537,"AS",302.570192678227,"B6",276.92267822736,290.220128630533,42.3643,-71.005203,45.58869934,-122.5979996
"Boston, MA","Raleigh/Durham, NC",625,3353,198.067957053385,"DL",200.200873844319,"B6",192.946805845511,192.517012909958,42.3643,-71.005203,35.87760162,-78.78749847
"Boston, MA","Richmond, VA",487,1376,179.393488372093,"DL",175.628728197674,"B6",173.486649709302,203.002435078972,42.3643,-71.005203,37.50519943,-77.31970215
"Boston, MA","Sacramento, CA",2636,335,308.49,"B6",291.29,"B6",291.29,316.002643678161,42.3643,-71.005203,38.69540024,-121.5910034
"Boston, MA","Salt Lake City, UT",2105,2307,270.811404421326,"DL",295.431369744257,"B6",213.877251842219,239.068217823105,42.3643,-71.005203,40.785749,-111.979746
"Boston, MA","San Antonio, TX",1764,636,234.635896226415,"AA",219.124056603774,"WN",212.169339622642,254.824799574152,42.3643,-71.005203,29.533701,-98.469803
"Boston, MA","San Diego, CA",2588,3520,307.488934659091,"B6",338.194803977273,"UA",267.403073863636,267.911126072742,42.3643,-71.005203,32.73360062,-117.1900024
"Boston, MA","San Francisco, CA",2704,7381,360.064139005555,"B6",381.906255249966,"UA",336.437988077496,324.81751036448,42.3643,-71.005203,37.61899948,-122.375
"Boston, MA","Sarasota/Bradenton, FL",1240,1133,191.593415710503,"B6",209.503715798764,"UA",120.08094439541,191.807515329294,42.3643,-71.005203,27.395399,-82.554398
"Boston, MA","Savannah, GA",917,1159,206.828999137187,"B6",210.089844693701,"AA",203.360957722174,198.645550952559,42.3643,-71.005203,32.12760162,-81.20210266
"Boston, MA","Seattle, WA",2496,3548,278.004712514092,"AS",267.353153889515,"AS",267.353153889515,278.652645494668,42.3643,-71.005203,47.449001,-122.308998
"Boston, MA","St. Louis, MO",1047,1328,244.845097891566,"WN",240.645067771084,"WN",239.175805722892,261.862490791536,42.3643,-71.005203,38.748697,-90.370003
"Boston, MA","Tampa, FL",1204,6936,180.61658160323,"B6",181.344173875433,"B6",179.922028546713,175.495241796368,42.3643,-71.005203,27.97550011,-82.53320313
"Boston, MA","Washington, DC",418,11446,161.527993185392,"AA",168.539426874017,"B6",142.814080901625,159.078844246276,42.3643,-71.005203,38.8521,-77.037697
"Boston, MA","West Palm Beach/Palm Beach, FL",1222,3631,201.510592123382,"B6",200.453015698155,"WN",168.623643624346,209.578706335383,42.3643,-71.005203,26.68320084,-80.09559631
"Bozeman, MT","Denver, CO",524,631,134.202123613312,"UA",145.020079239303,"WN",119.387115689382,156.420577036892,45.77750015,-111.1529999,39.86169815,-104.6729965
"Bozeman, MT","Los Angeles, CA",908,629,176.258489666137,"AS",164.954817170111,"AS",150.043958664547,189.312081971472,45.77750015,-111.1529999,33.942501,-118.407997
"Bozeman, MT","New York City, NY",1931,350,270.41,"UA",318.86,"B6",188.36,255.64606456886,45.77750015,-111.1529999,40.639801,-73.7789
"Bozeman, MT","Seattle, WA",543,302,130.14,"AS",130.23,"DL",128.04,153.347916666665,45.77750015,-111.1529999,47.449001,-122.308998
"Buffalo, NY","Chicago, IL",473,623,163.378812199037,"WN",148.06,"WN",145.810240770465,179.053413302104,42.94049835,-78.73220062,41.9786,-87.9048
"Buffalo, NY","Denver, CO",1359,318,200.58,"WN",242.58,"F9",114.36,284.331297468355,42.94049835,-78.73220062,39.86169815,-104.6729965
"Buffalo, NY","Las Vegas, NV",1986,254,283.8,"WN",280.72,"WN",280.72,287.000587275693,42.94049835,-78.73220062,36.08010101,-115.1520004
